Transaction ID,Date,Month,Customer ID,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount
121,15-10-2023,Oct,CUST121,Female,28,Young Adult,Electronics,4,50,200
122,03-10-2023,Oct,CUST122,Male,64,Older Adult,Electronics,4,30,120
123,15-05-2023,May,CUST123,Female,40,Middle Adult,Electronics,2,30,60
124,27-10-2023,Oct,CUST124,Male,33,Middle Adult,Clothing,4,500,2000
125,08-08-2023,Aug,CUST125,Male,48,Older Adult,Clothing,2,50,100
126,26-10-2023,Oct,CUST126,Female,28,Young Adult,Clothing,3,30,90
127,24-07-2023,Jul,CUST127,Female,33,Middle Adult,Clothing,2,25,50
128,05-07-2023,Jul,CUST128,Male,25,Young Adult,Beauty,1,500,500
129,23-04-2023,Apr,CUST129,Female,21,Young Adult,Beauty,2,300,600
130,12-03-2023,Mar,CUST130,Female,57,Older Adult,Clothing,1,500,500
131,18-09-2023,Sep,CUST131,Female,21,Young Adult,Beauty,2,300,600
132,10-09-2023,Sep,CUST132,Male,42,Middle Adult,Electronics,4,50,200
133,16-02-2023,Feb,CUST133,Male,20,Young Adult,Electronics,3,300,900
134,25-01-2023,Jan,CUST134,Male,49,Older Adult,Electronics,1,50,50
135,26-02-2023,Feb,CUST135,Male,20,Young Adult,Clothing,2,25,50
136,20-03-2023,Mar,CUST136,Male,44,Middle Adult,Electronics,2,300,600
137,18-11-2023,Nov,CUST137,Male,46,Older Adult,Beauty,2,500,1000
138,23-03-2023,Mar,CUST138,Male,49,Older Adult,Clothing,4,50,200
139,15-12-2023,Dec,CUST139,Male,36,Middle Adult,Beauty,4,500,2000
140,05-08-2023,Aug,CUST140,Male,38,Middle Adult,Electronics,1,30,30
141,02-11-2023,Nov,CUST141,Female,22,Young Adult,Electronics,1,50,50
142,02-02-2023,Feb,CUST142,Male,35,Middle Adult,Electronics,4,300,1200
143,17-07-2023,Jul,CUST143,Female,45,Middle Adult,Clothing,1,50,50
144,15-07-2023,Jul,CUST144,Female,59,Older Adult,Beauty,3,500,1500
145,02-11-2023,Nov,CUST145,Female,39,Middle Adult,Clothing,3,25,75
146,28-08-2023,Aug,CUST146,Male,38,Middle Adult,Clothing,4,50,200
147,28-09-2023,Sep,CUST147,Male,23,Young Adult,Electronics,1,300,300
148,09-05-2023,May,CUST148,Male,18,Young Adult,Clothing,2,30,60
149,11-10-2023,Oct,CUST149,Male,22,Young Adult,Clothing,3,25,75
150,06-01-2023,Jan,CUST150,Female,58,Older Adult,Electronics,4,30,120
151,15-12-2023,Dec,CUST151,Male,29,Young Adult,Clothing,1,50,50
152,28-02-2023,Feb,CUST152,Male,43,Middle Adult,Electronics,4,500,2000
153,16-12-2023,Dec,CUST153,Male,63,Older Adult,Electronics,2,500,1000
154,02-10-2023,Oct,CUST154,Male,51,Older Adult,Electronics,3,300,900
155,17-05-2023,May,CUST155,Male,31,Middle Adult,Electronics,4,500,2000
156,25-11-2023,Nov,CUST156,Female,43,Middle Adult,Clothing,4,25,100
157,24-06-2023,Jun,CUST157,Male,62,Older Adult,Electronics,4,500,2000
158,27-02-2023,Feb,CUST158,Female,44,Middle Adult,Electronics,2,300,600
159,31-05-2023,May,CUST159,Male,26,Young Adult,Clothing,4,50,200
160,11-08-2023,Aug,CUST160,Female,43,Middle Adult,Clothing,2,50,100
161,22-03-2023,Mar,CUST161,Male,64,Older Adult,Beauty,2,500,1000
162,21-08-2023,Aug,CUST162,Male,39,Middle Adult,Clothing,2,30,60
163,02-01-2023,Jan,CUST163,Female,64,Older Adult,Clothing,3,50,150
164,15-05-2023,May,CUST164,Female,47,Older Adult,Beauty,3,500,1500
165,14-09-2023,Sep,CUST165,Female,60,Older Adult,Clothing,4,300,1200
166,02-04-2023,Apr,CUST166,Male,34,Middle Adult,Clothing,4,500,2000
167,17-09-2023,Sep,CUST167,Female,43,Middle Adult,Clothing,3,50,150
168,24-02-2023,Feb,CUST168,Male,53,Older Adult,Clothing,1,300,300
169,17-11-2023,Nov,CUST169,Male,18,Young Adult,Beauty,3,500,1500
170,02-06-2023,Jun,CUST170,Female,25,Young Adult,Clothing,2,25,50
171,24-11-2023,Nov,CUST171,Female,52,Older Adult,Clothing,3,300,900
172,17-09-2023,Sep,CUST172,Male,32,Middle Adult,Beauty,2,25,50
173,08-11-2023,Nov,CUST173,Male,64,Older Adult,Electronics,4,30,120
174,12-04-2023,Apr,CUST174,Female,39,Middle Adult,Beauty,1,300,300
175,20-03-2023,Mar,CUST175,Female,31,Middle Adult,Electronics,4,25,100
176,11-07-2023,Jul,CUST176,Female,43,Middle Adult,Beauty,2,50,100
177,24-03-2023,Mar,CUST177,Male,45,Middle Adult,Beauty,2,50,100
178,04-10-2023,Oct,CUST178,Male,40,Middle Adult,Clothing,2,30,60
179,29-09-2023,Sep,CUST179,Male,31,Middle Adult,Electronics,1,300,300
180,01-01-2023,Jan,CUST180,Male,41,Middle Adult,Clothing,3,300,900
181,03-11-2023,Nov,CUST181,Male,19,Young Adult,Electronics,4,300,1200
182,15-06-2023,Jun,CUST182,Male,62,Older Adult,Beauty,4,30,120
183,08-09-2023,Sep,CUST183,Female,43,Middle Adult,Beauty,3,300,900
184,10-01-2023,Jan,CUST184,Male,31,Middle Adult,Electronics,4,50,200
185,27-02-2023,Feb,CUST185,Male,24,Young Adult,Clothing,1,25,25
186,05-07-2023,Jul,CUST186,Male,20,Young Adult,Clothing,4,50,200
187,07-06-2023,Jun,CUST187,Female,64,Older Adult,Clothing,2,50,100
188,03-05-2023,May,CUST188,Male,40,Middle Adult,Clothing,3,25,75
189,30-01-2023,Jan,CUST189,Male,63,Older Adult,Beauty,1,50,50
190,04-05-2023,May,CUST190,Female,60,Older Adult,Beauty,3,30,90
191,18-10-2023,Oct,CUST191,Male,64,Older Adult,Beauty,1,25,25
192,10-02-2023,Feb,CUST192,Male,62,Older Adult,Beauty,2,50,100
193,13-02-2023,Feb,CUST193,Male,35,Middle Adult,Beauty,3,500,1500
194,06-09-2023,Sep,CUST194,Male,55,Older Adult,Clothing,4,50,200
195,05-02-2023,Feb,CUST195,Male,52,Older Adult,Clothing,1,30,30
196,30-09-2023,Sep,CUST196,Female,32,Middle Adult,Clothing,3,300,900
197,06-03-2023,Mar,CUST197,Female,42,Middle Adult,Clothing,4,50,200
198,07-03-2023,Mar,CUST198,Female,54,Older Adult,Beauty,3,300,900
199,04-12-2023,Dec,CUST199,Male,45,Middle Adult,Beauty,3,500,1500
200,01-09-2023,Sep,CUST200,Male,27,Young Adult,Beauty,3,50,150
201,09-10-2023,Oct,CUST201,Male,56,Older Adult,Electronics,1,25,25
202,26-03-2023,Mar,CUST202,Female,34,Middle Adult,Clothing,4,300,1200
203,16-05-2023,May,CUST203,Male,56,Older Adult,Clothing,2,500,1000
204,28-09-2023,Sep,CUST204,Male,39,Middle Adult,Beauty,1,25,25
205,07-11-2023,Nov,CUST205,Female,43,Middle Adult,Clothing,1,25,25
206,05-08-2023,Aug,CUST206,Male,61,Older Adult,Clothing,1,25,25
207,19-04-2023,Apr,CUST207,Female,42,Middle Adult,Beauty,2,25,50
208,04-10-2023,Oct,CUST208,Female,34,Middle Adult,Electronics,4,50,200
209,20-12-2023,Dec,CUST209,Female,30,Young Adult,Electronics,4,50,200
210,13-04-2023,Apr,CUST210,Male,37,Middle Adult,Electronics,4,50,200
211,01-01-2024,Jan,CUST211,Male,42,Middle Adult,Beauty,3,500,1500
212,09-06-2023,Jun,CUST212,Male,21,Young Adult,Clothing,3,500,1500
213,24-07-2023,Jul,CUST213,Male,27,Young Adult,Beauty,3,500,1500
214,10-12-2023,Dec,CUST214,Male,20,Young Adult,Beauty,2,30,60
215,29-11-2023,Nov,CUST215,Male,58,Older Adult,Clothing,3,500,1500
216,11-07-2023,Jul,CUST216,Male,62,Older Adult,Electronics,2,50,100
217,13-08-2023,Aug,CUST217,Female,35,Middle Adult,Electronics,4,50,200
218,22-09-2023,Sep,CUST218,Male,64,Older Adult,Beauty,3,30,90
219,20-08-2023,Aug,CUST219,Female,53,Older Adult,Electronics,3,30,90
220,03-03-2023,Mar,CUST220,Male,64,Older Adult,Beauty,1,500,500
221,07-05-2023,May,CUST221,Male,39,Middle Adult,Beauty,2,300,600
222,26-04-2023,Apr,CUST222,Male,51,Older Adult,Clothing,4,30,120
223,02-02-2023,Feb,CUST223,Female,64,Older Adult,Clothing,1,25,25
224,23-06-2023,Jun,CUST224,Female,25,Young Adult,Clothing,1,50,50
225,11-01-2023,Jan,CUST225,Female,57,Older Adult,Beauty,4,25,100
226,29-10-2023,Oct,CUST226,Female,61,Older Adult,Clothing,1,50,50
227,11-10-2023,Oct,CUST227,Male,36,Middle Adult,Electronics,2,50,100
228,28-04-2023,Apr,CUST228,Female,59,Older Adult,Electronics,2,30,60
229,29-10-2023,Oct,CUST229,Male,58,Older Adult,Beauty,3,30,90
230,23-04-2023,Apr,CUST230,Male,54,Older Adult,Beauty,1,25,25
231,04-01-2023,Jan,CUST231,Female,23,Young Adult,Clothing,3,50,150
232,06-02-2023,Feb,CUST232,Female,43,Middle Adult,Beauty,1,25,25
233,29-12-2023,Dec,CUST233,Female,51,Older Adult,Beauty,2,300,600
234,20-11-2023,Nov,CUST234,Female,62,Older Adult,Electronics,2,25,50
235,31-01-2023,Jan,CUST235,Female,23,Young Adult,Electronics,2,500,1000
236,28-04-2023,Apr,CUST236,Female,54,Older Adult,Clothing,1,25,25
237,04-02-2023,Feb,CUST237,Female,50,Older Adult,Beauty,2,500,1000
238,17-01-2023,Jan,CUST238,Female,39,Middle Adult,Beauty,1,500,500
239,19-06-2023,Jun,CUST239,Male,38,Middle Adult,Electronics,3,500,1500
240,06-02-2023,Feb,CUST240,Female,23,Young Adult,Beauty,1,300,300
241,21-09-2023,Sep,CUST241,Female,23,Young Adult,Electronics,3,25,75
242,02-05-2023,May,CUST242,Male,21,Young Adult,Clothing,1,25,25
243,23-05-2023,May,CUST243,Female,47,Older Adult,Electronics,3,300,900
244,09-12-2023,Dec,CUST244,Male,28,Young Adult,Beauty,2,50,100
245,06-09-2023,Sep,CUST245,Male,47,Older Adult,Clothing,3,30,90
246,20-04-2023,Apr,CUST246,Female,48,Older Adult,Electronics,2,25,50
247,04-10-2023,Oct,CUST247,Male,41,Middle Adult,Electronics,2,30,60
248,09-03-2023,Mar,CUST248,Male,26,Young Adult,Clothing,3,300,900
249,20-10-2023,Oct,CUST249,Male,20,Young Adult,Clothing,1,50,50
250,23-10-2023,Oct,CUST250,Male,48,Older Adult,Electronics,1,50,50
251,31-08-2023,Aug,CUST251,Female,57,Older Adult,Beauty,4,50,200
252,05-05-2023,May,CUST252,Male,54,Older Adult,Electronics,1,300,300
253,31-08-2023,Aug,CUST253,Female,53,Older Adult,Clothing,4,500,2000
254,28-07-2023,Jul,CUST254,Male,41,Middle Adult,Electronics,1,500,500
255,08-04-2023,Apr,CUST255,Male,48,Older Adult,Clothing,1,30,30
256,18-02-2023,Feb,CUST256,Male,23,Young Adult,Clothing,2,500,1000
257,19-02-2023,Feb,CUST257,Male,19,Young Adult,Beauty,4,500,2000
258,04-12-2023,Dec,CUST258,Female,37,Middle Adult,Clothing,1,50,50
259,09-08-2023,Aug,CUST259,Female,45,Middle Adult,Clothing,4,50,200
260,01-07-2023,Jul,CUST260,Male,28,Young Adult,Beauty,2,30,60
261,05-08-2023,Aug,CUST261,Male,21,Young Adult,Clothing,2,25,50
262,30-07-2023,Jul,CUST262,Female,32,Middle Adult,Beauty,4,30,120
263,28-08-2023,Aug,CUST263,Male,23,Young Adult,Beauty,2,30,60
264,28-01-2023,Jan,CUST264,Male,47,Older Adult,Clothing,3,300,900
265,11-12-2023,Dec,CUST265,Male,55,Older Adult,Clothing,3,300,900
266,01-12-2023,Dec,CUST266,Female,19,Young Adult,Electronics,2,30,60
267,27-11-2023,Nov,CUST267,Female,32,Middle Adult,Beauty,3,30,90
268,20-02-2023,Feb,CUST268,Female,28,Young Adult,Electronics,1,30,30
269,01-02-2023,Feb,CUST269,Male,25,Young Adult,Clothing,4,500,2000
270,26-07-2023,Jul,CUST270,Male,43,Middle Adult,Electronics,1,300,300
271,23-06-2023,Jun,CUST271,Female,62,Older Adult,Beauty,4,30,120
272,25-02-2023,Feb,CUST272,Female,61,Older Adult,Electronics,2,50,100
273,08-05-2023,May,CUST273,Female,22,Young Adult,Beauty,1,50,50
274,09-04-2023,Apr,CUST274,Female,23,Young Adult,Clothing,2,500,1000
275,08-04-2023,Apr,CUST275,Male,43,Middle Adult,Clothing,2,500,1000
276,02-10-2023,Oct,CUST276,Female,21,Young Adult,Beauty,4,25,100
277,18-08-2023,Aug,CUST277,Male,36,Middle Adult,Clothing,4,25,100
278,13-03-2023,Mar,CUST278,Female,37,Middle Adult,Clothing,4,25,100
279,05-08-2023,Aug,CUST279,Male,50,Older Adult,Clothing,1,500,500
280,04-04-2023,Apr,CUST280,Female,37,Middle Adult,Clothing,3,500,1500
281,23-05-2023,May,CUST281,Female,29,Young Adult,Beauty,4,500,2000
282,25-08-2023,Aug,CUST282,Female,64,Older Adult,Electronics,4,50,200
283,08-05-2023,May,CUST283,Female,18,Young Adult,Electronics,1,500,500
284,08-02-2023,Feb,CUST284,Male,43,Middle Adult,Clothing,4,50,200
285,15-08-2023,Aug,CUST285,Female,31,Middle Adult,Electronics,1,25,25
286,09-10-2023,Oct,CUST286,Male,55,Older Adult,Electronics,2,25,50
287,20-02-2023,Feb,CUST287,Male,54,Older Adult,Clothing,4,25,100
288,26-01-2023,Jan,CUST288,Male,28,Young Adult,Clothing,4,30,120
289,30-11-2023,Nov,CUST289,Male,53,Older Adult,Electronics,2,30,60
290,04-10-2023,Oct,CUST290,Female,30,Young Adult,Beauty,2,300,600
291,08-01-2023,Jan,CUST291,Male,60,Older Adult,Clothing,2,300,600
292,17-02-2023,Feb,CUST292,Male,20,Young Adult,Beauty,4,300,1200
293,02-05-2023,May,CUST293,Male,50,Older Adult,Electronics,3,30,90
294,27-03-2023,Mar,CUST294,Female,23,Young Adult,Clothing,3,30,90
295,28-07-2023,Jul,CUST295,Female,27,Young Adult,Beauty,3,300,900
296,06-09-2023,Sep,CUST296,Female,22,Young Adult,Clothing,4,300,1200
297,04-09-2023,Sep,CUST297,Female,40,Middle Adult,Electronics,2,500,1000
298,20-04-2023,Apr,CUST298,Male,27,Young Adult,Beauty,4,300,1200
299,25-07-2023,Jul,CUST299,Male,61,Older Adult,Electronics,2,500,1000
300,31-01-2023,Jan,CUST300,Female,19,Young Adult,Electronics,4,50,200
301,26-03-2023,Mar,CUST301,Male,30,Young Adult,Clothing,4,30,120
302,14-07-2023,Jul,CUST302,Male,57,Older Adult,Beauty,2,300,600
303,02-01-2023,Jan,CUST303,Male,19,Young Adult,Electronics,3,30,90
304,19-07-2023,Jul,CUST304,Female,37,Middle Adult,Electronics,2,30,60
305,16-05-2023,May,CUST305,Female,18,Young Adult,Beauty,1,30,30
306,21-08-2023,Aug,CUST306,Male,54,Older Adult,Electronics,1,50,50
307,27-05-2023,May,CUST307,Female,26,Young Adult,Electronics,2,25,50
308,05-08-2023,Aug,CUST308,Female,34,Middle Adult,Beauty,4,300,1200
309,23-12-2023,Dec,CUST309,Female,26,Young Adult,Beauty,1,25,25
310,12-10-2023,Oct,CUST310,Female,28,Young Adult,Beauty,1,25,25
311,05-12-2023,Dec,CUST311,Female,32,Middle Adult,Beauty,4,25,100
312,07-09-2023,Sep,CUST312,Male,41,Middle Adult,Clothing,4,30,120
313,21-03-2023,Mar,CUST313,Female,55,Older Adult,Beauty,3,500,1500
314,08-04-2023,Apr,CUST314,Male,52,Older Adult,Clothing,4,30,120
315,01-06-2023,Jun,CUST315,Male,47,Older Adult,Clothing,2,30,60
316,22-04-2023,Apr,CUST316,Female,48,Older Adult,Clothing,2,25,50
317,30-01-2023,Jan,CUST317,Male,22,Young Adult,Electronics,3,30,90
318,24-10-2023,Oct,CUST318,Male,61,Older Adult,Clothing,1,25,25
319,05-10-2023,Oct,CUST319,Male,31,Middle Adult,Clothing,1,500,500
320,01-02-2023,Feb,CUST320,Female,28,Young Adult,Electronics,4,300,1200
321,10-06-2023,Jun,CUST321,Female,26,Young Adult,Electronics,2,25,50
322,30-01-2023,Jan,CUST322,Male,51,Older Adult,Electronics,1,500,500
323,26-01-2023,Jan,CUST323,Female,29,Young Adult,Beauty,3,300,900
324,27-10-2023,Oct,CUST324,Female,52,Older Adult,Electronics,3,50,150
325,02-09-2023,Sep,CUST325,Female,52,Older Adult,Electronics,2,25,50
326,15-09-2023,Sep,CUST326,Female,18,Young Adult,Clothing,3,25,75
327,29-09-2023,Sep,CUST327,Male,57,Older Adult,Electronics,3,50,150
328,22-03-2023,Mar,CUST328,Male,39,Middle Adult,Beauty,2,50,100
329,30-01-2023,Jan,CUST329,Female,46,Older Adult,Electronics,4,25,100
330,18-09-2023,Sep,CUST330,Female,25,Young Adult,Beauty,4,50,200
331,11-02-2023,Feb,CUST331,Male,28,Young Adult,Electronics,3,30,90
332,06-04-2023,Apr,CUST332,Male,58,Older Adult,Electronics,4,300,1200
333,05-02-2023,Feb,CUST333,Female,54,Older Adult,Electronics,4,300,1200
334,01-11-2023,Nov,CUST334,Male,31,Middle Adult,Electronics,3,300,900
335,04-02-2023,Feb,CUST335,Female,47,Older Adult,Beauty,4,30,120
336,12-12-2023,Dec,CUST336,Female,52,Older Adult,Beauty,3,50,150
337,01-05-2023,May,CUST337,Male,38,Middle Adult,Clothing,1,500,500
338,26-07-2023,Jul,CUST338,Male,54,Older Adult,Beauty,2,50,100
339,03-03-2023,Mar,CUST339,Female,22,Young Adult,Electronics,2,25,50
340,19-10-2023,Oct,CUST340,Female,36,Middle Adult,Clothing,4,300,1200
341,07-05-2023,May,CUST341,Male,31,Middle Adult,Clothing,4,50,200
342,24-10-2023,Oct,CUST342,Female,43,Middle Adult,Clothing,4,500,2000
343,01-11-2023,Nov,CUST343,Male,21,Young Adult,Electronics,2,25,50
344,21-01-2023,Jan,CUST344,Female,42,Middle Adult,Beauty,1,30,30
